Response Time,Availability,Throughput,Successability,Reliability,Compliance,Best Practices,Latency,Documentation,Service Name,WSDL Address
1326.5,86,6.8,86,73,78,84,41.0,32,User,http://www.processclaims.com/service/user.asmx?wsdl
49.53,53,15.0,54,60,89,69,0.82,32,CB_CD,http://www.multispeak.org/interface/30j/2B_CB_CD.asmx?wsdl
159.5,98,2.8,100,73,78,80,16.5,37,BSXMLAddressSearch,http://ws.east-ayrshire.gov.uk/nlpg/eacbsxmlnlpgws/bsxmladdresssearch.asmx?wsdl
285.0,85,4.2,95,73,78,84,96.0,38,GlobalWeather,http://www.webservicex.com/globalweather.asmx?WSDL
448.67,65,1.1,66,73,100,80,127.34,64,PlaceFinderSample,http://arcweb.esri.com/services/v2006/PlaceFinderSample.wsdl
159.62,34,0.9,35,78,89,89,3.0,6,IntegrationService,http://ebs.be.no/services/Integration?Wsdl
181.0,83,30.6,84,80,78,83,94.0,7,walker_service,http://www.walkermowers.com/ws/opei/claime.wsdl
1226.67,63,1.9,64,83,89,91,869.0,41,Blast,http://twiki.mygrid.org.uk/twiki/pub/Mygrid/TempWSDL/Blast_search_noparam.wsdl
269.83,85,4.5,86,53,89,66,74.96,6,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/protein_motifs.antigenic?wsdl
115.0,72,12.9,72,83,89,91,4.5,7,ValidateService,http://webservices.imacination.com/validate/Validate.jws?wsdl
65.0,99,31.6,100,80,89,65,21.0,42,Statistics,http://www.strikeiron.com/scripts/statistics.asmx?wsdl
133.75,89,3.4,96,60,100,74,33.75,34,MobileTextMessaging,http://ws.strikeiron.com/mobiletext_2_5?WSDL
174.1,55,10.2,55,67,89,77,28.03,36,WebBlogService,http://www.foodcandy.com/WebBlogService.asmx?WSDL
265.09,94,10.2,94,73,89,62,48.18,11,SkyNodeWS,http://skyserver.ast.cam.ac.uk/wfc/SkyNodeWS.asmx?wsdl
341.0,100,23.6,100,73,100,80,20.0,3,DownloadService,http://www.samsung.com/my/support/WcmsService/DownloadService.asmx?WSDL
1760.48,97,2.4,98,67,89,58,18.76,90,ERSWebCensusMapService,http://maps.ers.usda.gov/Profiles/ERSWebCensusMapService/ERSWebCensusMapService.asmx?wsdl
232.0,85,12.8,95,78,78,91,5.0,12,PegsTourService,http://www.mail-archive.com/axis-c-dev@ws.apache.org/msg04871/durchstich.wsdl
235.0,83,23.5,84,67,78,72,1.0,7,ReporteAereo,http://www.inbolpack.net/transredes2/WSRepAereo.php?wsdl
1360.0,83,10.4,84,83,89,91,3.0,3,UpdatesService,http://dcregistry.natlib.govt.nz/axis/services/termUpdates?wsdl
2967.75,56,2.4,58,83,89,91,4.25,3,PimlService,http://pathport.vbi.vt.edu/services/wsdls/piml.wsdl
461.5,39,5.1,40,80,89,83,331.88,62,TCrossPlatformSoapService,http://www.ebob42.com/cgi-bin/CrossPlatformSoapService.asmx?wsdl
161.0,98,17.6,100,73,78,62,50.2,91,GBNIRHolidayService,http://www.holidaywebservice.com/Holidays/GBNIR/GBNIRHolidayService.asmx?wsdl
189.0,83,22.2,84,73,100,84,7.0,8,IsPublicationScientific,http://isb.oio.dk/cmsweb/WsdlWebTool/UserFiles/WsdlDef958958/IsPublicationScientific.wsdl
70.62,18,4.3,18,60,78,79,3.97,2,AmazonSearchService,http://webservices.amazon.ca/schemas3/AmazonWebServices.wsdl
520.5,92,6.5,97,67,100,72,19.25,62,TerraService,http://terraserver-usa.com/terraservice.asmx?WSDL
329.0,98,23.9,99,73,100,80,20.0,7,DownloadService,http://www.samsung.com/pl/support/WcmsService/DownloadService.asmx?WSDL
186.0,93,10.5,94,73,78,80,56.0,12,aotm,http://www.artofthemix.org/aotm.asmx?wsdl
400.5,56,5.6,56,80,89,87,8.5,57,Calculator,http://soaptest.parasoft.com/calculator.wsdl
704.0,83,15.5,84,89,100,93,8.0,65,Demo,http://www.relevantum.fi/demot/soap/demo1-kello.wsdl
136.71,90,3.8,97,60,78,74,5.23,93,XigniteRegistration,http://www.xignite.com/xRegistration.asmx?wsdl
831.36,64,2.0,65,80,67,87,95.36,7,getOtherInformation,http://www.precisionreservations.com/PRWebServ/getOtherInformation.asmx?wsdl
3768.33,63,1.4,63,83,50,91,1991.0,56,ASPNNewsFeeds,http://aspn.activestate.com/ASPN/News/News.wsdl
111.67,85,7.4,95,73,78,84,9.0,3,GoogleSearchService,http://www.myjavaserver.com/~tsschnoc/GoogleSearch.wsdl
